metric, value, unit
operation, dlio,
ranks, 16,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, NO,
collective data, NO,
train total size, 63.000, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "0.527, 0.536, 0.525, 0.411, 0.428", "s, s, s, s, s"
train metadata time, 2.427, s
train raw read time per epoch, "3.772, 3.642, 3.854, 3.942, 3.909", "s, s, s, s, s"
train total raw read time, 19.120, s
train raw read rate per epoch, "1.043, 1.080, 1.021, 1022.736, 1.007", "GB/s, GB/s, GB/s, MB/s, GB/s"
train avg raw read rate, 1.030, GB/s
train observed time per epoch, "7.470, 7.360, 7.551, 7.481, 7.395", "s, s, s, s, s"
train observed time, 37.258, s
train observed rate per epoch, "883.564, 905.398, 868.195, 881.460, 898.478", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 887.419, MB/s
train throughput samples per second per epoch, "8.433, 8.559, 8.343, 8.421, 8.520", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 8.455, samples/s
train throughput stdev samples per second, 0.076, samples/s
train io avg, 541.143, MB/s
train io stdev, 4.894, MB/s
eval total size, 16.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "0.216, 0.145, 0.150, 0.104, 0.197", "s, s, s, s, s"
eval metadata time, 0.812, s
eval raw read time per epoch, "0.780, 0.902, 0.928, 0.911, 0.801", "s, s, s, s, s"
eval total raw read time, 4.322, s
eval raw read rate per epoch, "1.282, 1.106, 1.077, 1.097, 1.247", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 1.162, GB/s
eval observed time per epoch, "3.829, 3.817, 3.833, 3.860, 3.802", "s, s, s, s, s"
eval observed time, 19.140, s
eval observed rate per epoch, "822.670, 830.734, 819.588, 802.665, 840.983", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 823.328, MB/s
eval throughput samples per second per epoch, "4.179, 4.192, 4.174, 4.145, 4.209", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 4.180, samples/s
eval throughput stdev samples per second, 0.021, samples/s
eval io avg, 267.507, MB/s
eval io stdev, 1.346, MB/s
