metric, value, unit
operation, dlio,
ranks, 64,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 56.000, GB
train size per rank, 896.000, MB
train emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
train emulated compute time, 3.230, s
train metadata time per epoch, "0.267, 0.985, 0.721, 0.812, 0.973", "s, s, s, s, s"
train metadata time, 3.758, s
train raw read time per epoch, "3.710, 3.529, 3.460, 3.578, 3.162", "s, s, s, s, s"
train total raw read time, 17.439, s
train raw read rate per epoch, "241.499, 253.896, 258.922, 250.444, 283.353", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 257.623, MB/s
train observed time per epoch, "5.335, 5.352, 5.102, 5.219, 5.377", "s, s, s, s, s"
train observed time, 26.385, s
train observed rate per epoch, "191.085, 190.394, 201.067, 195.926, 189.395", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 193.573, MB/s
train throughput samples per second per epoch, "2.624, 2.616, 2.744, 2.682, 2.604", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 2.654, samples/s
train throughput stdev samples per second, 0.052, samples/s
train io avg, 169.856, MB/s
train io stdev, 3.357, MB/s
eval total size, 16.000, GB
eval size per rank, 256.000, MB
eval emulated compute time per epoch, "0.646, 0.646, 0.646, 0.646, 0.646", "s, s, s, s, s"
eval emulated compute time, 3.230, s
eval metadata time per epoch, "0.353, 0.472, 0.669, 0.720, 0.419", "s, s, s, s, s"
eval metadata time, 2.633, s
eval raw read time per epoch, "0.797, 0.668, 0.513, 0.388, 0.612", "s, s, s, s, s"
eval total raw read time, 2.978, s
eval raw read rate per epoch, "320.435, 383.377, 497.817, 658.988, 417.709", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 456.146, MB/s
eval observed time per epoch, "2.097, 1.909, 1.876, 1.831, 1.812", "s, s, s, s, s"
eval observed time, 9.524, s
eval observed rate per epoch, "176.467, 202.655, 208.128, 216.121, 219.594", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 204.593, MB/s
eval throughput samples per second per epoch, "1.908, 2.095, 2.132, 2.185, 2.208", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 2.106, samples/s
eval throughput stdev samples per second, 0.107, samples/s
eval io avg, 134.758, MB/s
eval io stdev, 6.816, MB/s
