metric, value, unit
operation, dlio,
ranks, 16,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, NO,
collective data, NO,
train total size, 63.000, GB
train size per rank, 3.938, GB
train emulated compute time per epoch, "2.907, 2.907, 2.907, 2.907, 2.907", "s, s, s, s, s"
train emulated compute time, 14.535, s
train metadata time per epoch, "0.495, 0.472, 0.489, 0.416, 0.379", "s, s, s, s, s"
train metadata time, 2.251, s
train raw read time per epoch, "3.781, 3.652, 3.676, 3.741, 3.776", "s, s, s, s, s"
train total raw read time, 18.626, s
train raw read rate per epoch, "1.041, 1.077, 1.070, 1.052, 1.042", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg raw read rate, 1.057, GB/s
train observed time per epoch, "7.396, 7.260, 7.329, 7.272, 8.640", "s, s, s, s, s"
train observed time, 37.897, s
train observed rate per epoch, "898.101, 926.207, 911.857, 923.764, 703.353", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 872.656, MB/s
train throughput samples per second per epoch, "8.518, 8.677, 8.596, 8.664, 7.292", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 8.349, samples/s
train throughput stdev samples per second, 0.532, samples/s
train io avg, 534.361, MB/s
train io stdev, 34.029, MB/s
eval total size, 16.000, GB
eval size per rank, 1.000, GB
eval emulated compute time per epoch, "2.584, 2.584, 2.584, 2.584, 2.584", "s, s, s, s, s"
eval emulated compute time, 12.920, s
eval metadata time per epoch, "0.216, 0.143, 0.130, 0.096, 0.270", "s, s, s, s, s"
eval metadata time, 0.854, s
eval raw read time per epoch, "0.782, 0.883, 0.902, 0.930, 0.767", "s, s, s, s, s"
eval total raw read time, 4.264, s
eval raw read rate per epoch, "1.278, 1.131, 1.108, 1.074, 1.304", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 1.180, GB/s
eval observed time per epoch, "3.859, 3.794, 3.823, 3.828, 3.819", "s, s, s, s, s"
eval observed time, 19.122, s
eval observed rate per epoch, "803.311, 846.425, 826.715, 823.151, 829.336", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 825.787, MB/s
eval throughput samples per second per epoch, "4.146, 4.217, 4.186, 4.180, 4.190", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 4.184, samples/s
eval throughput stdev samples per second, 0.023, samples/s
eval io avg, 267.764, MB/s
eval io stdev, 1.454, MB/s
