metric, value, unit
operation, dlio,
ranks, 8,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 63.000, GB
train size per rank, 7.875, GB
train emulated compute time per epoch, "5.814, 5.814, 5.814, 5.814, 5.814", "s, s, s, s, s"
train emulated compute time, 29.070, s
train metadata time per epoch, "0.774, 0.731, 0.616, 0.588, 0.553", "s, s, s, s, s"
train metadata time, 3.262, s
train raw read time per epoch, "5.302, 4.581, 4.401, 6.017, 4.135", "s, s, s, s, s"
train total raw read time, 24.437, s
train raw read rate per epoch, "1.484, 1.719, 1.789, 1.309, 1.904", "GB/s, GB/s, GB/s, GB/s, GB/s"
train avg raw read rate, 1.641, GB/s
train observed time per epoch, "13.814, 13.069, 12.527, 13.745, 11.908", "s, s, s, s, s"
train observed time, 65.062, s
train observed rate per epoch, "1008.046, 1.085, 1.173, 1016.770, 1.292", "MB/s, GB/s, GB/s, MB/s, GB/s"
train avg observed rate, 1.105, GB/s
train throughput samples per second per epoch, "9.121, 9.641, 10.059, 9.167, 10.581", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 9.714, samples/s
train throughput stdev samples per second, 0.552, samples/s
train io avg, 621.687, MB/s
train io stdev, 35.354, MB/s
eval total size, 16.000, GB
eval size per rank, 2.000, GB
eval emulated compute time per epoch, "5.168, 5.168, 5.168, 5.168, 5.168", "s, s, s, s, s"
eval emulated compute time, 25.840, s
eval metadata time per epoch, "0.234, 0.153, 0.171, 0.236, 0.192", "s, s, s, s, s"
eval metadata time, 0.985, s
eval raw read time per epoch, "1.464, 1.134, 1.040, 1.020, 1.001", "s, s, s, s, s"
eval total raw read time, 5.659, s
eval raw read rate per epoch, "1.365, 1.763, 1.923, 1.960, 1.996", "GB/s, GB/s, GB/s, GB/s, GB/s"
eval avg raw read rate, 1.802, GB/s
eval observed time per epoch, "8.025, 7.212, 6.899, 6.851, 6.811", "s, s, s, s, s"
eval observed time, 35.798, s
eval observed rate per epoch, "716.933, 1001.737, 1.155, 1.188, 1.217", "MB/s, MB/s, GB/s, GB/s, GB/s"
eval avg observed rate, 1.048, GB/s
eval throughput samples per second per epoch, "3.988, 4.437, 4.638, 4.671, 4.698", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 4.486, samples/s
eval throughput stdev samples per second, 0.266, samples/s
eval io avg, 287.130, MB/s
eval io stdev, 17.009, MB/s
