metric, value, unit
operation, dlio,
ranks, 32,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 56.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "0.736, 0.610, 0.344, 0.462, 0.386", "s, s, s, s, s"
train metadata time, 2.537, s
train raw read time per epoch, "3.785, 3.678, 3.516, 3.441, 3.343", "s, s, s, s, s"
train total raw read time, 17.763, s
train raw read rate per epoch, "473.445, 487.191, 509.732, 520.786, 536.003", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 505.432, MB/s
train observed time per epoch, "6.179, 5.903, 5.696, 5.468, 5.347", "s, s, s, s, s"
train observed time, 28.592, s
train observed rate per epoch, "366.722, 388.646, 406.917, 429.146, 441.888", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 406.664, MB/s
train throughput samples per second per epoch, "4.532, 4.743, 4.916, 5.121, 5.236", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 4.910, samples/s
train throughput stdev samples per second, 0.254, samples/s
train io avg, 314.219, MB/s
train io stdev, 16.234, MB/s
eval total size, 16.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.267, 0.073, 0.185, 0.203, 0.072", "s, s, s, s, s"
eval metadata time, 0.799, s
eval raw read time per epoch, "0.670, 0.781, 0.775, 0.781, 0.844", "s, s, s, s, s"
eval total raw read time, 3.851, s
eval raw read rate per epoch, "763.893, 655.174, 660.896, 655.174, 605.583", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 668.602, MB/s
eval observed time per epoch, "2.525, 2.456, 2.491, 2.441, 2.490", "s, s, s, s, s"
eval observed time, 12.403, s
eval observed rate per epoch, "415.307, 439.825, 427.081, 445.666, 427.208", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 431.018, MB/s
eval throughput samples per second per epoch, "3.169, 3.257, 3.212, 3.278, 3.212", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 3.225, samples/s
eval throughput stdev samples per second, 0.038, samples/s
eval io avg, 206.429, MB/s
eval io stdev, 2.449, MB/s
